CHANGE_ID,REPORT_DATE,DATE_CLOSED,REPORTER,REQUEST,TABLES_AFFECTED,CODES_AFFECTED,COMMENT,ACTION
1995.16,5/9/1995,5/10/1995,John Bobbitt; POSC,California zone names.,Proj,,Agreed.  Note that SP27 zones use roman numerals whilst SP83 use Arabic.,P**** name amended.
1995.17,5/18/1995,5/30/1995,John Bobbitt; POSC,Make projCS units variable.,Proj,,Data model problem.,Reporter advised.
1995.18,7/20/1995,7/20/1995,John Bobbitt; POSC,Missouri East & New York east SP projection longitude of origin error.,Proj,12401  13101,Agreed.,Longitude of natural origin hemisphere changed from E to W.
1995.191,7/21/1995,7/21/1995,Melita Kennedy; ESRI,Hemisphere in area of use descriptions should all be W.,ProjCS,20822  20823  20824,Agreed.,Area of use longitude hemisphere changed from E to W.
1995.192,7/21/1995,7/21/1995,Melita Kennedy; ESRI,Error in area of use description West Malaysia west of 102 deg E,ProjCS,24548,Agreed.,"Area of use description changed from ""...east of 102 deg E"" to ""... west of...""."
1995.193,7/21/1995,7/21/1995,Melita Kennedy; ESRI,Hemisphere in area of use descriptions should all be E.,ProjCS,23846  23847  23848  23849  23850  23851  23852  23853  23886  23887  23888  23889  23890  23891  23892  23893  23894,Agreed.,Area of use longitude hemisphere changed from W to E.
1995.2,7/25/1995,7/25/1995,Niles Ritter; JPL,Area of use mis-spelling eest.,ProjCS,23846  23886,Error introduced in amendment 1995.193,"Area of use description changed to ""... and west of 96 deg E""."
1995.211,7/25/1995,8/8/1995,Joe Schwartz; Mapinfo,Add datum transformation parameters for each datum to WGS 84.,,,Not a trivial problem.  To be addressed in a later revision.,None at this time.
1995.212,7/25/1995,8/8/1995,Joe Schwartz; Mapinfo,Add test data for each projected coordinate system.,ProjCS,,Examples are given in POSC transformation method documentation.,None
1995.22,8/8/1995,8/8/1995,John Bobbitt; POSC,"I have a publication that lists a ""Louisiana Offshore"" for use with NAD27.  Your tables don't have this zone.  Does the area of use of Louisiana South include the offshore GOM or not?  Or does it include it on NAD27, but not NAD83?",Proj,,"To the best of our knowledge Louisiana Offshore zones, both for NAD27 and NAD83 are not used.  The Louisiana South zone (NAD 27) is used offshore Louisiana. The NAD83/Louisiana South projected coordinate system is used only onshore.",None
1995.23,8/8/1995,8/8/1995,John Bobbitt; POSC,"For NAD27, the description for Texas South and Texas South Central includes the Gulf of Mexico. For NAD83 it does not. Is this correct?",Proj,14204  14205  14234  14235,Systems in use on the Texas shelf are NAD27/Texas South and NAD27/Texas South Central. MMS propose that NAD83/UTM zone 14/15 should replace these.  NAD83/Texas South and NAD83/Texas South Central are used onshore only.,None
1995.24,8/8/1995,8/8/1995,John Bobbitt; POSC,"Should Geographic CS 4270:Nahrwan 1967, have an area of use of ""Persian Gulf"" not ""Arabian Gulf""?",GeogCS,4270,". Historically named the Persian Gulf,  with the rise of Arab nationalism, this became unacceptable on the west/south side of the Gulf and there the term Arabian Gulf has been used.",None
1995.25,8/8/1995,8/22/1995,John Bobbitt; POSC,Arizona & Michigan coordinate system projection zone names inconsistent with names in projection table.,ProjCS,26748  26749  26750  26801  26802  26803,Agreed.,Amend projection zone names given in CS table to correspond to those in projection table.
1995.26,8/8/1995,8/22/1995,John Bobbitt; POSC,"Discrepancies in names between the projected coordinate system
file and the projection parameters file in the name of the
projection zone.",Proj  ProjCS,18081  18082  18083  18084  18091  18092  18093  18094  27581  27582  27583  27591  27592  27593,"The names given in the projection parameter file are preferred.  However, investigation of this request has brought to light a transposition of and old code reference in the Remarks of all four (including Corsica) old and new Lambert France zones.","Remarks amended for projections 18081-18084 and 18091-18094.  For ProjCS 27591-27593 inclusive, amend projection zone to be consistent with proj file, and delete the map projection zone abbreviation. For ProjCS 27581-27583 and 27591-27593, add remarks."
